ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC488PO21N000554,행사,행사,토지문학제,경상남도,하동군,4885032034,악양면 평사리,4885032034,악양면,488504832495,경상남도 하동군 악양면 평사리길 35,52307,라라172842,35.153174595417,127.689095169934,하동군 악양면 최참판댁 일원,20200101,20201231,문학제,하동군청,토지문학제운영위원회,,,,,20220228,5440000,경상남도 하동군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000555,행사,행사,2019 광복기념음악회,경기도,안양시 만안구,4117110100,안양동,4117110100,안양동,411713182007,경기도 안양시 만안구 병목안로 215,14023,다사475319,37.3852894227621,126.907676269341,병목안시민공원,20190815,20190815,"뮤지컬 그룹 플래티넘, 안양시립합창단 공연 등",(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,"안양시, 티브로드abc방송",0316870500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",20220228,3830000,경기도 안양시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000556,행사,행사,2019 안양 시민축제,경기도,안양시 동안구,4117310300,평촌동,4117310300,평촌동,411733183003,경기도 안양시 동안구 관평로 149,14067,다사523324,37.3901366389543,126.961328707289,"평촌중앙공원,병목안시민공원,범계로데오",20190920,20190922,"시민공연마당, 전시체험부스, 개폐막 축하공연, 방송국 공개방송, 안양시민의날 기념식, 안양시민가요제 등",(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,0316870500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",20220228,3830000,경기도 안양시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000557,행사,행사,할미성 대동제,경기도,용인시 처인구,4146110300,삼가동,4146110300,삼가동,414612012012,경기도 용인시 처인구 중부대로 1199,17019,다사714158,37.2408673320851,127.177968367739,용인중앙시장 광장,20201015,20201015,길놀이 행사 및 할미성 대동굿 12거리 재연,할미성대동굿보존회,용인문화원,용인시,0313249600,http://www.ycc50.org/,,20220228,4050000,경기도 용인시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000558,행사,행사,포은문화제,경기도,용인시 처인구,4146125327,모현읍 능원리,4146125327,모현읍,414613203145,경기도 용인시 처인구 모현읍 능곡로 45,16886,다사716265,37.3378615770379,127.179439623379,정몽주 묘역,20201011,20201013,"관혼상제, 인문학 강의, 북콘서트, 각종 경연대회, 체험부스",용인문화원,용인문화원,용인시,0313249600,www.poeun.co.kr,,20220228,4050000,경기도 용인시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000559,행사,행사,2021 진도문화예술제,전라남도,진도군,4690025021,진도읍 동외리,4690025021,진도읍,469002017002,전라남도 진도군 진도읍 진도대로 7197,58926,나라869102,34.4797059338788,126.26857720936,향토문화회관 및 철마공원 중심,20211001,20211031,"군민과 향후들, 관광객들의 참여 속에 지역발전과 군민화합을 위한 한마당 잔치",(사)한국예총진도지회,전라남도 진도군,,0615427949,https://www.jindo.go.kr/tour/tour/info/festival.cs?act=view&infoId=99&searchCondition=&searchKeyword=&pageIndex=1,"진도개체험마당, 짚공예만들기, 서화그리기, 풍물배우기 등",20220228,5000000,전라남도 진도군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000560,행사,행사,2021 김포 도심축제,경기도,김포시,4157010400,장기동,4157010400,장기동,415704427668,경기도 김포시 김포한강2로24번길 29,10079,다사273607,37.6435040916982,126.676560803655,라베니체 수변상가 일원,20210901,20211130,빛 조형물 전시,김포문화재단,김포시,,0319802488,,,20220228,4090000,경기도 김포시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000561,행사,행사,2021 대전 서구힐링 아트페스티벌,대전광역시,서구,3017011200,둔산동,3017011200,둔산동,301703166021,대전광역시 서구 둔산서로 100,35238,다바895175,36.3550560085393,127.38335761067,보라매공원(서구청앞) 일원,20211004,20211010,아트마켓 등 7개분야 60여개 프로그램,"서구축제추진위원회, 대전광역시서구문화원, 한국예총대전광역시연합회",대전광역시 서구,미정,0422882742,http://www.seogu.go.kr/sorg/content.do?mnucd=SGMENU0500242,,20220228,3660000,대전광역시 서구,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000562,행사,행사,동해무릉제,강원도,동해시,4217010100,천곡동,4217010100,천곡동,421703221040,강원도 동해시 중앙로 250,25769,마사426483,37.523024439488,129.114347858734,천곡로타리 일원,20191004,20191006,"개막식, 퍼레이드, 공연행사, 체험행사, 동대항 민속경기, 민속예술시연 등",동해문화원,동해시,"동해시, 동해시의회",0335302111,http://www.dh.go.kr/tour/sub.htm?nav_code=tou1497764548,,20220228,4210000,강원도 동해시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000563,행사,행사,우륵문화제(예정),충청북도,충주시,4313011800,연수동,4313011800,연수동,431303238048,충청북도 충주시 예성로 266,27371,라바388871,36.9816922713737,127.936579544524,"충주시 문화회관, 관아갤러리",20211018,20211031,"명현추모제, 개막식 및 축하공연, 우륵뮤지컬, 문인·미술·사진작가협회 회원전시회 등",우륵문화제추진위원회,충주예총,충주시,0438471565,www.cjart.or.kr,"충주예총홈페이지, 충주시홈페이지",20220228,4390000,충청북도 충주시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
